,,,,,,,,
,,,,,,,,
,Case ID,"Background
Match",Model A,Model B,,,,
,815,NO,0.903,0.475,,,,
,816,YES,0.991,0.876,,,,
,818,NO,0.910,0.363,,,,
,819,NO,0.905,0.341,,,,
,820,NO,0.905,0.406,,,,
,821,NO,0.904,0.348,,,,
,822,NO,0.911,0.301,,,,
,823,NO,0.920,0.497,,,,
,824,NO,0.911,0.520,,,,
,825,NO,0.911,0.396,,,,
,826,NO,0.910,0.515,,,,
,827,YES,0.993,0.955,,,,
,828,NO,0.910,0.489,,,,
,829,NO,0.908,0.578,,,,
,830,NO,0.903,0.558,,,,
,831,NO,0.909,0.459,,,,
,832,NO,0.913,0.439,,,,
,833,NO,0.905,0.483,,,,
,834,YES,0.994,0.967,,,,
,835,NO,0.909,0.431,,,,
,836,NO,0.904,0.214,,,,
,837,NO,0.904,0.249,,,,
,838,NO,0.913,0.288,,,,
,839,NO,0.910,0.540,,,,
,840,NO,0.903,0.272,,,,
,842,NO,1.000,0.986,,,,
,843,YES,1.000,0.977,,,,
,844,YES,0.999,0.990,,,,
,845,YES,0.999,0.990,,,,
,846,YES,0.999,0.990,,,,
,847,YES,0.999,0.990,,,,
,848,YES,0.997,0.970,,,,
,849,YES,0.997,0.976,,,,
,850,YES,0.997,0.960,,,,
,851,NO,0.907,0.590,,,,
,852,YES,0.974,0.885,,,,
,853,NO,0.918,0.569,,,,
,854,NO,0.909,0.497,,,,
,855,NO,0.906,0.327,,,,
,856,NO,0.916,0.492,,,,
,857,YES,0.990,0.962,,,,
,858,NO,0.912,0.427,,,,
,859,NO,0.913,0.538,,,,
,860,NO,0.915,0.470,,,,
,861,NO,0.911,0.514,,,,
,862,YES,0.977,0.904,,,,
,863,NO,0.911,0.327,,,,
,864,NO,0.906,0.424,,,,
,865,NO,0.906,0.572,,,,
,866,NO,0.919,0.522,,,,
,867,NO,0.914,0.392,,,,
,868,NO,0.914,0.411,,,,
,869,NO,0.912,0.529,,,,
,870,NO,0.905,0.308,,,,
,871,NO,0.910,0.480,,,,
,872,YES,0.995,0.890,,,,
,873,NO,0.911,0.389,,,,
,874,NO,0.915,0.519,,,,
,875,NO,0.907,0.491,,,,
,876,NO,0.910,0.540,,,,
,877,NO,0.909,0.374,,,,
,878,NO,0.907,0.515,,,,
,879,NO,0.917,0.258,,,,
,880,NO,0.977,0.905,,,,
,882,YES,1.000,0.991,,,,
,883,YES,0.999,0.988,,,,
,884,YES,0.999,0.990,,,,
,885,YES,0.999,0.991,,,,
,886,YES,0.999,0.985,,,,
,887,YES,0.999,0.981,,,,
,888,YES,0.999,0.992,,,,
,889,YES,0.999,0.983,,,,
,890,YES,0.999,0.988,,,,
,891,NO,0.903,0.502,,,,
,892,YES,0.982,0.908,,,,
,893,YES,0.976,0.901,,,,
,894,YES,0.969,0.922,,,,
,895,NO,0.910,0.481,,,,
,896,NO,0.915,0.384,,,,
,897,NO,0.904,0.457,,,,
,898,NO,0.902,0.351,,,,
,899,YES,0.984,0.912,,,,
,900,YES,0.971,0.880,,,,
,901,NO,0.903,0.494,,,,
,902,NO,0.908,0.377,,,,
,903,NO,0.906,0.417,,,,
,904,NO,0.998,0.955,,,,
,905,NO,0.902,0.495,,,,
,906,NO,0.905,0.417,,,,
,907,NO,0.904,0.329,,,,
,908,YES,0.998,0.970,,,,
,909,NO,0.907,0.385,,,,
,910,NO,0.914,0.487,,,,
,911,NO,0.918,0.459,,,,
,912,NO,0.905,0.477,,,,
,913,NO,0.903,0.240,,,,
,914,NO,0.904,0.453,,,,
,915,NO,0.904,0.485,,,,
,916,NO,0.904,0.420,,,,
,917,NO,0.901,0.397,,,,
,918,NO,0.906,0.553,,,,
,919,NO,0.904,0.494,,,,
,920,YES,0.966,0.867,,,,
,922,YES,0.999,0.978,,,,
,923,YES,0.999,0.958,,,,
,924,YES,0.998,0.954,,,,
,925,YES,0.998,0.949,,,,
,926,YES,0.998,0.968,,,,
,927,YES,0.998,0.977,,,,
,928,YES,0.998,0.968,,,,
,929,YES,0.998,0.957,,,,
,930,YES,0.998,0.957,,,,
,931,NO,0.910,0.499,,,,
,932,NO,0.910,0.254,,,,
,933,NO,0.910,0.397,,,,
,934,NO,0.908,0.456,,,,
,935,NO,0.908,0.427,,,,
,936,NO,0.918,0.370,,,,
,937,NO,0.907,0.457,,,,
,938,NO,0.908,0.409,,,,
,939,NO,0.916,0.425,,,,
,940,NO,0.920,0.428,,,,
,941,NO,0.905,0.363,,,,
,942,YES,0.909,0.378,,,,
,943,YES,0.994,0.946,,,,
,944,NO,0.904,0.373,,,,
,945,NO,0.906,0.368,,,,
,946,NO,0.905,0.339,,,,
,947,NO,0.909,0.431,,,,
,948,NO,0.911,0.344,,,,
,949,NO,0.907,0.300,,,,
,950,YES,0.993,0.936,,,,
,951,NO,0.906,0.315,,,,
,952,NO,0.905,0.448,,,,
,953,YES,0.976,0.853,,,,
,954,NO,0.908,0.529,,,,
,955,YES,0.993,0.938,,,,
,956,NO,0.912,0.282,,,,
,957,NO,0.909,0.426,,,,
,958,NO,0.911,0.387,,,,
,959,NO,0.909,0.291,,,,
,960,NO,0.908,0.474,,,,
,962,YES,0.963,0.786,,,,
,963,NO,0.938,0.344,,,,
,964,NO,0.935,0.273,,,,
,965,NO,0.935,0.358,,,,
,966,NO,0.931,0.526,,,,
,967,NO,0.930,0.384,,,,
,968,NO,0.929,0.514,,,,
,969,NO,0.929,0.502,,,,
,970,NO,0.929,0.477,,,,
,971,NO,0.906,0.346,,,,
,972,NO,0.905,0.327,,,,
,973,NO,0.902,0.386,,,,
,974,NO,0.904,0.392,,,,
,975,NO,0.899,0.353,,,,
,976,NO,0.903,0.407,,,,
,977,NO,0.901,0.379,,,,
,978,NO,0.904,0.388,,,,
,979,NO,0.904,0.381,,,,
,980,NO,0.899,0.400,,,,
,981,NO,0.904,0.442,,,,
,982,NO,0.911,0.337,,,,
,983,NO,0.902,0.364,,,,
,984,NO,0.912,0.417,,,,
,985,NO,0.900,0.235,,,,
,986,NO,0.907,0.286,,,,
,987,NO,0.905,0.419,,,,
,988,NO,0.909,0.466,,,,
,989,NO,0.900,0.371,,,,
,990,NO,0.905,0.317,,,,
,991,NO,0.907,0.495,,,,
,992,NO,0.905,0.290,,,,
,993,NO,0.907,0.226,,,,
,994,NO,0.901,0.462,,,,
,995,NO,0.900,0.368,,,,
,996,NO,0.903,0.356,,,,
,997,NO,0.902,0.271,,,,
,998,NO,0.906,0.542,,,,
,999,NO,0.900,0.489,,,,
,1000,NO,0.911,0.261,,,,
,1002,NO,1.000,0.996,,,,
,1003,YES,1.000,0.995,,,,
,1004,YES,1.000,0.984,,,,
,1005,YES,1.000,0.993,,,,
,1006,YES,1.000,0.996,,,,
,1007,YES,1.000,0.991,,,,
,1008,YES,1.000,0.991,,,,
,1009,YES,1.000,0.989,,,,
,1010,YES,1.000,0.993,,,,
,1011,NO,0.946,0.591,,,,
,1012,NO,0.954,0.295,,,,
,1013,NO,0.942,0.632,,,,
,1014,NO,0.939,0.439,,,,
,1015,NO,0.940,0.372,,,,
,1016,NO,0.938,0.494,,,,
,1017,NO,0.940,0.575,,,,
,1018,NO,0.940,0.551,,,,
,1019,NO,0.954,0.603,,,,
,1020,NO,0.939,0.310,,,,
,1021,NO,0.945,0.635,,,,
,1022,NO,0.945,0.574,,,,
,1023,NO,0.946,0.537,,,,
,1024,NO,0.944,0.292,,,,
,1025,NO,0.945,0.562,,,,
,1026,NO,0.947,0.514,,,,
,1027,NO,0.943,0.406,,,,
,1028,NO,0.939,0.649,,,,
,1029,YES,0.999,0.982,,,,
,1030,NO,0.946,0.390,,,,
,1031,NO,0.940,0.546,,,,
,1032,NO,0.939,0.417,,,,
,1033,NO,0.938,0.629,,,,
,1034,NO,0.945,0.402,,,,
,1035,YES,0.968,0.973,,,,
,1036,NO,0.945,0.312,,,,
,1037,NO,0.942,0.477,,,,
,1038,NO,0.942,0.384,,,,
,1039,NO,0.947,0.506,,,,
,1040,NO,0.939,0.484,,,,
,1042,YES,1.000,0.999,,,,
,1043,YES,1.000,0.997,,,,
,1044,YES,1.000,0.998,,,,
,1045,YES,1.000,0.997,,,,
,1046,YES,1.000,0.999,,,,
,1047,YES,1.000,0.999,,,,
,1048,YES,1.000,0.999,,,,
,1049,YES,1.000,0.999,,,,
,1050,YES,1.000,0.999,,,,
,1051,NO,0.854,0.555,,,,
,1052,NO,0.861,0.390,,,,
,1053,NO,0.898,0.912,,,,
,1054,YES,1.000,0.998,,,,
,1055,NO,0.855,0.388,,,,
,1057,YES,0.890,0.887,,,,
,1058,YES,0.898,0.876,,,,
,1059,NO,0.898,0.792,,,,
,1060,NO,0.856,0.478,,,,
,1061,YES,0.891,0.902,,,,
,1062,NO,0.859,0.466,,,,
,1063,YES,0.885,0.839,,,,
,1064,YES,0.896,0.917,,,,
,1065,NO,0.855,0.531,,,,
,1066,YES,0.993,0.976,,,,
,1067,NO,0.851,0.485,,,,
,1068,YES,0.992,0.956,,,,
,1069,NO,0.853,0.456,,,,
,1070,NO,0.850,0.466,,,,
,1071,NO,0.858,0.374,,,,
,1072,NO,0.860,0.494,,,,
,1073,YES,0.992,0.961,,,,
,1074,YES,0.900,0.865,,,,
,1075,YES,0.894,0.914,,,,
,1076,NO,0.856,0.433,,,,
,1077,NO,0.852,0.477,,,,
,1078,NO,0.855,0.378,,,,
,1079,NO,0.856,0.344,,,,
,1080,NO,0.853,0.392,,,,
,1082,NO,0.966,0.925,,,,
,1083,YES,0.966,0.902,,,,
,1084,YES,0.964,0.877,,,,
,1085,NO,0.960,0.909,,,,
,1086,NO,0.958,0.913,,,,
,1087,YES,0.958,0.929,,,,
,1088,NO,0.955,0.841,,,,
,1089,NO,0.951,0.872,,,,
,1090,NO,0.946,0.904,,,,
,1091,NO,0.914,0.158,,,,
,1092,NO,0.915,0.148,,,,
,1093,NO,0.924,0.106,,,,
,1094,NO,0.921,0.058,,,,
,1095,NO,0.914,0.108,,,,
,1096,NO,0.914,0.132,,,,
,1097,NO,0.917,0.203,,,,
,1098,NO,0.918,0.069,,,,
,1099,NO,0.914,0.126,,,,
,1100,NO,0.914,0.097,,,,
,1101,NO,0.917,0.143,,,,
,1102,NO,0.922,0.134,,,,
,1103,NO,0.926,0.144,,,,
,1104,NO,0.918,0.090,,,,
,1105,NO,0.914,0.118,,,,
,1106,NO,0.915,0.103,,,,
,1107,NO,0.916,0.150,,,,
,1108,NO,0.918,0.154,,,,
,1109,NO,0.925,0.144,,,,
,1110,NO,0.915,0.194,,,,
,1111,NO,0.913,0.160,,,,
,1112,NO,0.916,0.135,,,,
,1113,NO,0.919,0.135,,,,
,1114,NO,0.918,0.190,,,,
,1115,NO,0.922,0.134,,,,
,1116,NO,0.923,0.117,,,,
,1117,NO,0.917,0.118,,,,
,1118,NO,0.920,0.123,,,,
,1119,NO,0.913,0.165,,,,
,1120,NO,0.913,0.141,,,,
,1122,YES,0.995,0.913,,,,
,1123,NO,0.995,0.895,,,,
,1124,YES,0.994,0.906,,,,
,1125,NO,0.993,0.888,,,,
,1126,YES,0.992,0.872,,,,
,1127,YES,0.990,0.768,,,,
,1128,NO,0.989,0.835,,,,
,1129,YES,0.989,0.757,,,,
,1130,NO,0.988,0.867,,,,
,1131,YES,0.941,0.790,,,,
,1132,NO,0.910,0.412,,,,
,1133,NO,0.911,0.480,,,,
,1134,NO,0.905,0.328,,,,
,1135,NO,0.928,0.786,,,,
,1136,NO,0.901,0.422,,,,
,1137,NO,0.909,0.426,,,,
,1138,NO,0.890,0.302,,,,
,1139,NO,0.900,0.427,,,,
,1140,NO,0.907,0.414,,,,
,1141,NO,0.894,0.310,,,,
,1142,NO,0.895,0.415,,,,
,1143,NO,0.918,0.263,,,,
,1144,NO,0.970,0.873,,,,
,1145,NO,0.894,0.391,,,,
,1146,NO,0.897,0.299,,,,
,1147,NO,0.910,0.459,,,,
,1148,YES,0.923,0.783,,,,
,1149,YES,0.942,0.782,,,,
,1150,NO,0.901,0.322,,,,
,1151,NO,0.892,0.366,,,,
,1152,NO,0.901,0.412,,,,
,1153,NO,0.938,0.802,,,,
,1154,NO,0.896,0.364,,,,
,1155,YES,0.940,0.812,,,,
,1156,NO,0.895,0.459,,,,
,1157,NO,0.892,0.350,,,,
,1158,NO,0.890,0.438,,,,
,1159,NO,0.892,0.446,,,,
,1160,NO,0.894,0.207,,,,
,1162,YES,1.000,0.892,,,,
,1163,YES,1.000,0.853,,,,
,1164,YES,1.000,0.878,,,,
,1165,YES,1.000,0.887,,,,
,1166,YES,1.000,0.890,,,,
,1167,YES,1.000,0.944,,,,
,1168,YES,1.000,0.884,,,,
,1169,YES,1.000,0.911,,,,
,1170,YES,1.000,0.828,,,,
,1171,NO,0.927,0.510,,,,
,1172,NO,0.926,0.492,,,,
,1173,NO,0.929,0.464,,,,
,1174,NO,0.934,0.579,,,,
,1175,NO,0.939,0.533,,,,
,1176,NO,0.937,0.507,,,,
,1177,NO,0.929,0.465,,,,
,1178,NO,0.929,0.419,,,,
,1179,NO,0.929,0.437,,,,
,1180,NO,0.930,0.463,,,,
,1181,NO,0.946,0.559,,,,
,1182,YES,1.000,0.863,,,,
,1183,NO,0.933,0.445,,,,
,1184,NO,0.926,0.312,,,,
,1185,NO,0.950,0.611,,,,
,1186,NO,0.932,0.564,,,,
,1187,NO,0.927,0.429,,,,
,1188,NO,0.930,0.578,,,,
,1189,NO,0.926,0.409,,,,
,1190,NO,0.928,0.621,,,,
,1191,NO,0.933,0.509,,,,
,1192,NO,0.933,0.456,,,,
,1193,NO,0.926,0.348,,,,
,1194,NO,0.937,0.360,,,,
,1195,NO,0.928,0.363,,,,
,1196,NO,0.940,0.434,,,,
,1197,NO,0.937,0.515,,,,
,1198,NO,0.930,0.260,,,,
,1199,NO,0.933,0.582,,,,
,1200,NO,0.938,0.212,,,,
,1202,YES,1.000,0.980,,,,
,1203,YES,1.000,0.995,,,,
,1204,YES,1.000,0.994,,,,
,1205,YES,1.000,0.989,,,,
,1206,YES,1.000,0.980,,,,
,1207,NO,1.000,0.991,,,,
,1208,YES,1.000,0.993,,,,
,1209,YES,1.000,0.977,,,,
,1210,YES,1.000,0.989,,,,
,1211,NO,0.904,0.339,,,,
,1212,NO,0.915,0.348,,,,
,1213,NO,0.921,0.264,,,,
,1214,NO,0.906,0.465,,,,
,1215,NO,0.904,0.409,,,,
,1216,NO,0.910,0.466,,,,
,1217,NO,0.904,0.387,,,,
,1218,NO,0.919,0.535,,,,
,1219,NO,0.906,0.346,,,,
,1220,YES,0.996,0.937,,,,
,1221,NO,0.903,0.232,,,,
,1222,NO,0.906,0.479,,,,
,1223,NO,0.905,0.326,,,,
,1224,NO,0.905,0.573,,,,
,1225,NO,0.904,0.478,,,,
,1226,NO,0.912,0.450,,,,
,1227,NO,0.905,0.371,,,,
,1228,NO,0.907,0.380,,,,
,1229,NO,0.912,0.441,,,,
,1230,NO,0.904,0.398,,,,
,1231,NO,0.906,0.372,,,,
,1232,NO,0.904,0.318,,,,
,1233,NO,0.907,0.440,,,,
,1234,NO,0.908,0.270,,,,
,1235,NO,0.905,0.335,,,,
,1236,NO,0.908,0.351,,,,
,1237,NO,0.907,0.314,,,,
,1238,NO,0.912,0.391,,,,
,1239,NO,0.907,0.331,,,,
,1240,NO,0.903,0.341,,,,
,1242,NO,0.997,0.986,,,,
,1243,YES,0.997,0.991,,,,
,1244,YES,0.996,0.987,,,,
,1245,YES,0.996,0.960,,,,
,1246,YES,0.996,0.975,,,,
,1247,YES,0.995,0.980,,,,
,1248,NO,0.995,0.983,,,,
,1249,NO,0.994,0.985,,,,
,1250,NO,0.994,0.966,,,,
,1251,NO,0.892,0.128,,,,
,1252,NO,0.894,0.323,,,,
,1253,NO,0.896,0.110,,,,
,1254,NO,0.902,0.142,,,,
,1255,NO,0.900,0.160,,,,
,1256,NO,0.890,0.343,,,,
,1257,NO,0.892,0.185,,,,
,1258,NO,0.897,0.190,,,,
,1259,NO,0.891,0.215,,,,
,1260,NO,0.955,0.973,,,,
,1261,NO,0.893,0.149,,,,
,1262,NO,0.893,0.202,,,,
,1263,NO,0.893,0.258,,,,
,1264,NO,0.896,0.193,,,,
,1265,NO,0.895,0.203,,,,
,1266,NO,0.889,0.116,,,,
,1267,NO,0.889,0.165,,,,
,1268,NO,0.891,0.228,,,,
,1269,NO,0.897,0.132,,,,
,1270,NO,0.888,0.490,,,,
,1271,NO,0.889,0.133,,,,
,1272,NO,0.895,0.175,,,,
,1273,NO,0.888,0.077,,,,
,1275,NO,0.892,0.114,,,,
,1276,NO,0.916,0.303,,,,
,1277,NO,0.896,0.161,,,,
,1278,NO,0.894,0.168,,,,
,1279,NO,0.896,0.198,,,,
,1280,NO,0.907,0.169,,,,
,1282,NO,0.952,0.953,,,,
,1283,YES,0.944,0.926,,,,
,1284,YES,0.942,0.949,,,,
,1285,YES,0.940,0.954,,,,
,1286,YES,0.937,0.930,,,,
,1287,YES,0.936,0.963,,,,
,1288,YES,0.932,0.968,,,,
,1289,NO,0.930,0.964,,,,
,1290,YES,0.927,0.940,,,,
,1291,NO,0.892,0.213,,,,
,1292,NO,0.892,0.350,,,,
,1293,NO,0.896,0.247,,,,
,1294,NO,0.902,0.350,,,,
,1295,NO,0.892,0.242,,,,
,1296,NO,0.900,0.349,,,,
,1297,NO,0.897,0.302,,,,
,1298,NO,0.903,0.340,,,,
,1299,NO,0.900,0.302,,,,
,1300,NO,0.897,0.253,,,,
,1301,NO,0.891,0.302,,,,
,1302,NO,0.892,0.264,,,,
,1303,NO,0.914,0.386,,,,
,1304,NO,0.891,0.243,,,,
,1305,NO,0.893,0.348,,,,
,1306,NO,0.897,0.219,,,,
,1307,NO,0.895,0.287,,,,
,1308,NO,0.893,0.328,,,,
,1309,NO,0.898,0.288,,,,
,1310,NO,0.903,0.236,,,,
,1311,NO,0.905,0.321,,,,
,1312,NO,0.895,0.336,,,,
,1313,NO,0.890,0.291,,,,
,1314,NO,0.899,0.238,,,,
,1315,NO,0.896,0.292,,,,
,1316,NO,0.897,0.262,,,,
,1317,NO,0.899,0.282,,,,
,1318,NO,0.902,0.322,,,,
,1319,NO,0.893,0.299,,,,
,1320,NO,0.896,0.218,,,,
,1322,YES,1.000,0.932,,,,
,1323,YES,1.000,0.979,,,,
,1324,YES,1.000,0.917,,,,
,1325,NO,1.000,0.952,,,,
,1326,YES,1.000,0.910,,,,
,1327,YES,1.000,0.974,,,,
,1328,NO,1.000,0.977,,,,
,1329,YES,1.000,0.940,,,,
,1330,YES,1.000,0.834,,,,
,1331,NO,0.938,0.577,,,,
,1332,NO,0.929,0.615,,,,
,1333,NO,0.932,0.500,,,,
,1334,NO,0.927,0.395,,,,
,1335,NO,0.927,0.329,,,,
,1336,NO,0.930,0.418,,,,
,1337,NO,0.930,0.549,,,,
,1338,NO,0.928,0.538,,,,
,1339,NO,0.936,0.527,,,,
,1340,NO,0.930,0.446,,,,
,1341,NO,0.937,0.412,,,,
,1342,NO,0.926,0.461,,,,
,1343,NO,0.947,0.648,,,,
,1344,NO,0.936,0.578,,,,
,1345,NO,0.928,0.646,,,,
,1346,NO,0.933,0.623,,,,
,1347,NO,0.932,0.530,,,,
,1348,NO,0.929,0.495,,,,
,1349,NO,0.938,0.573,,,,
,1350,NO,0.927,0.450,,,,
,1351,NO,0.931,0.477,,,,
,1352,NO,0.929,0.659,,,,
,1353,NO,0.936,0.477,,,,
,1354,NO,0.927,0.327,,,,
,1355,NO,0.939,0.531,,,,
,1356,NO,0.931,0.580,,,,
,1357,NO,0.928,0.498,,,,
,1358,NO,0.927,0.432,,,,
,1359,NO,0.936,0.481,,,,
,1360,NO,0.932,0.481,,,,
,1362,YES,1.000,0.992,,,,
,1363,YES,1.000,0.996,,,,
,1364,YES,1.000,0.989,,,,
,1365,YES,1.000,0.989,,,,
,1366,YES,1.000,0.994,,,,
,1367,YES,1.000,0.985,,,,
,1368,YES,1.000,0.992,,,,
,1369,YES,1.000,0.991,,,,
,1370,YES,1.000,0.992,,,,
,1371,YES,0.987,0.902,,,,
,1372,NO,0.913,0.430,,,,
,1373,NO,0.906,0.425,,,,
,1374,NO,0.909,0.476,,,,
,1375,NO,0.904,0.395,,,,
,1376,YES,0.986,0.928,,,,
,1377,NO,0.916,0.516,,,,
,1378,YES,0.987,0.908,,,,
,1379,NO,0.908,0.409,,,,
,1380,NO,0.903,0.443,,,,
,1381,NO,0.904,0.528,,,,
,1382,NO,0.908,0.473,,,,
,1383,YES,0.999,0.988,,,,
,1384,NO,0.910,0.495,,,,
,1385,NO,0.910,0.378,,,,
,1386,NO,0.909,0.465,,,,
,1387,NO,0.906,0.418,,,,
,1388,NO,0.909,0.360,,,,
,1389,NO,0.912,0.432,,,,
,1390,NO,0.905,0.587,,,,
,1391,NO,0.910,0.422,,,,
,1392,NO,0.905,0.437,,,,
,1393,NO,0.906,0.326,,,,
,1394,NO,0.916,0.440,,,,
,1395,YES,0.980,0.883,,,,
,1396,NO,0.903,0.502,,,,
,1397,NO,0.910,0.359,,,,
,1398,NO,0.903,0.537,,,,
,1399,NO,0.910,0.373,,,,
,1400,NO,0.906,0.403,,,,
,1402,NO,0.972,0.925,,,,
,1403,NO,0.968,0.853,,,,
,1404,NO,0.952,0.779,,,,
,1405,NO,0.947,0.676,,,,
,1406,NO,0.947,0.775,,,,
,1407,NO,0.946,0.680,,,,
,1408,NO,0.945,0.776,,,,
,1409,NO,0.944,0.713,,,,
,1410,NO,0.944,0.454,,,,
,1411,NO,0.919,0.428,,,,
,1412,NO,0.923,0.583,,,,
,1413,NO,0.918,0.416,,,,
,1414,NO,0.936,0.597,,,,
,1415,NO,0.925,0.370,,,,
,1416,NO,0.913,0.499,,,,
,1417,NO,0.919,0.617,,,,
,1418,NO,0.917,0.414,,,,
,1419,NO,0.916,0.606,,,,
,1420,NO,0.919,0.523,,,,
,1421,NO,0.914,0.422,,,,
,1422,NO,0.915,0.361,,,,
,1423,NO,0.912,0.355,,,,
,1424,NO,0.916,0.245,,,,
,1425,NO,0.921,0.586,,,,
,1426,NO,0.915,0.465,,,,
,1427,NO,0.914,0.336,,,,
,1428,NO,0.924,0.418,,,,
,1429,NO,0.920,0.318,,,,
,1430,NO,0.921,0.368,,,,
,1431,NO,0.928,0.360,,,,
,1432,NO,0.922,0.562,,,,
,1433,NO,0.919,0.333,,,,
,1434,NO,0.913,0.578,,,,
,1435,NO,0.922,0.450,,,,
,1436,NO,0.912,0.320,,,,
,1437,NO,0.913,0.470,,,,
,1438,NO,0.914,0.456,,,,
,1439,NO,0.913,0.432,,,,
,1440,NO,0.913,0.474,,,,
,1442,YES,0.998,0.910,,,,
,1443,YES,0.997,0.896,,,,
,1444,YES,0.996,0.916,,,,
,1445,NO,0.996,0.921,,,,
,1446,YES,0.996,0.924,,,,
,1447,YES,0.996,0.918,,,,
,1448,YES,0.996,0.921,,,,
,1449,YES,0.996,0.903,,,,
,1450,YES,0.995,0.909,,,,
,1451,NO,0.898,0.180,,,,
,1452,NO,0.891,0.238,,,,
,1453,NO,0.892,0.253,,,,
,1454,NO,0.890,0.212,,,,
,1455,NO,0.889,0.265,,,,
,1456,NO,0.889,0.239,,,,
,1457,NO,0.895,0.163,,,,
,1458,NO,0.901,0.134,,,,
,1459,NO,0.890,0.283,,,,
,1460,NO,0.891,0.168,,,,
,1461,NO,0.889,0.192,,,,
,1462,NO,0.899,0.114,,,,
,1463,NO,0.899,0.196,,,,
,1464,NO,0.888,0.143,,,,
,1465,NO,0.899,0.206,,,,
,1466,NO,0.900,0.383,,,,
,1467,NO,0.888,0.125,,,,
,1468,NO,0.898,0.214,,,,
,1469,NO,0.901,0.143,,,,
,1470,NO,0.890,0.134,,,,
,1471,NO,0.899,0.196,,,,
,1472,NO,0.888,0.115,,,,
,1473,NO,0.888,0.337,,,,
,1474,NO,0.889,0.222,,,,
,1475,NO,0.892,0.448,,,,
,1476,NO,0.888,0.082,,,,
,1477,NO,0.893,0.294,,,,
,1478,NO,0.891,0.244,,,,
,1479,NO,0.888,0.125,,,,
,1480,NO,0.890,0.169,,,,
,1482,YES,0.999,0.970,,,,
,1483,YES,0.998,0.972,,,,
,1484,YES,0.998,0.986,,,,
,1485,YES,0.998,0.970,,,,
,1486,YES,0.998,0.971,,,,
,1487,YES,0.998,0.969,,,,
,1488,YES,0.997,0.970,,,,
,1489,YES,0.997,0.963,,,,
,1490,YES,0.997,0.968,,,,
,1491,NO,0.855,0.348,,,,
,1492,NO,0.854,0.355,,,,
,1493,NO,0.859,0.368,,,,
,1494,YES,0.984,0.921,,,,
,1495,NO,0.853,0.445,,,,
,1496,NO,0.855,0.510,,,,
,1497,NO,0.856,0.295,,,,
,1498,NO,0.859,0.337,,,,
,1499,NO,0.864,0.489,,,,
,1500,NO,0.855,0.544,,,,
,1501,NO,0.856,0.385,,,,
,1502,NO,0.863,0.356,,,,
,1503,YES,0.911,0.893,,,,
,1504,NO,0.857,0.488,,,,
,1505,YES,0.905,0.873,,,,
,1506,NO,0.858,0.539,,,,
,1507,NO,0.862,0.227,,,,
,1508,NO,0.858,0.410,,,,
,1509,NO,0.858,0.511,,,,
,1510,YES,0.987,0.927,,,,
,1511,YES,0.993,0.959,,,,
,1512,NO,0.855,0.514,,,,
,1513,NO,0.857,0.392,,,,
,1514,NO,0.858,0.465,,,,
,1515,NO,0.857,0.448,,,,
,1516,NO,0.870,0.522,,,,
,1517,NO,0.856,0.217,,,,
,1518,NO,0.859,0.293,,,,
,1519,NO,0.856,0.469,,,,
,1520,YES,0.915,0.871,,,,
,1522,YES,1.000,0.999,,,,
,1523,YES,1.000,0.999,,,,
,1524,YES,1.000,0.999,,,,
,1525,YES,1.000,0.997,,,,
,1526,YES,1.000,0.999,,,,
,1527,YES,1.000,0.996,,,,
,1528,YES,0.999,0.995,,,,
,1529,YES,0.999,0.994,,,,
,1530,YES,0.999,0.994,,,,
,1531,NO,0.854,0.500,,,,
,1532,NO,0.851,0.367,,,,
,1533,NO,0.854,0.479,,,,
,1534,YES,0.895,0.899,,,,
,1535,NO,0.851,0.370,,,,
,1536,NO,0.855,0.502,,,,
,1537,NO,0.850,0.478,,,,
,1538,YES,0.901,0.865,,,,
,1539,NO,0.851,0.363,,,,
,1540,NO,0.854,0.374,,,,
,1541,NO,0.850,0.521,,,,
,1542,NO,0.852,0.394,,,,
,1543,YES,0.901,0.907,,,,
,1544,NO,0.863,0.349,,,,
,1545,NO,0.852,0.561,,,,
,1546,YES,0.899,0.889,,,,
,1547,NO,0.855,0.346,,,,
,1548,NO,0.853,0.552,,,,
,1549,NO,0.852,0.569,,,,
,1550,NO,0.852,0.441,,,,
,1551,NO,0.854,0.452,,,,
,1552,NO,0.854,0.519,,,,
,1553,NO,0.850,0.475,,,,
,1554,NO,0.856,0.549,,,,
,1555,YES,0.971,0.941,,,,
,1556,NO,0.851,0.334,,,,
,1557,NO,0.857,0.444,,,,
,1558,YES,0.882,0.854,,,,
,1559,YES,0.988,0.965,,,,
,1560,NO,0.853,0.447,,,,
,1562,YES,0.999,0.954,,,,
,1563,YES,0.998,0.978,,,,
,1564,YES,0.998,0.975,,,,
,1565,YES,0.998,0.940,,,,
,1566,YES,0.998,0.971,,,,
,1567,YES,0.998,0.948,,,,
,1568,YES,0.998,0.979,,,,
,1569,YES,0.998,0.972,,,,
,1570,YES,0.998,0.966,,,,
,1571,NO,0.909,0.400,,,,
,1572,NO,0.918,0.429,,,,
,1573,NO,0.911,0.398,,,,
,1574,NO,0.911,0.427,,,,
,1575,NO,0.911,0.347,,,,
,1576,NO,0.927,0.431,,,,
,1577,NO,0.965,0.844,,,,
,1578,NO,0.910,0.447,,,,
,1579,NO,0.911,0.363,,,,
,1580,NO,0.920,0.304,,,,
